skill,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Clinical Leadership,0.11919112241606031,0.04389525420616214,0.008140720098520902,0.15117116429583308,0.0004886683058819279,0.07171530742531945,-0.009261381911598587,-0.032633011506917275,-0.0004400987920632667,-0.028641047988252594
Hospital Settings,0.05119770774203183,0.05078947726325424,0.006408234975194817,0.13433978859013515,0.001797562278607795,0.04087102497763674,-0.007936918749569614,0.17144580857370478,0.18239273737570014,0.11777865062243717
Patient Safety,0.11841533827351232,0.004374286424746089,0.002974819481882062,0.045643161106073006,-0.000582274281708851,0.04392666952708047,-0.012940466765546948,-0.03572310892245691,-0.04127063938087586,0.2923360096614676
HIPAA,0.15494637766449557,-0.005001402000661884,0.0025610413358579456,0.0053364349138977875,0.0007908241316992546,0.006975305749934246,-0.006401768725086436,0.02155327500945519,0.02163311039047569,0.1846695253161117
Clinical Education,0.049279930605157535,0.019126273160660828,0.0025838739091927567,0.07250826071999024,0.0009486974529972186,0.05205683096511365,-0.011661066266789095,-0.07220221811870305,-0.08892722817969125,0.1930271642955276
Clinical Practice,0.02179689799234072,0.04487463842425698,0.006093375348786046,0.08597800178364538,0.000800416442343219,0.01641820328728681,-0.00485142523172468,0.000806511871123317,0.006057864002899773,0.03178096225914338
Neuro ICU,0.12913946240662097,-0.02083139060342183,0.0008536297185583209,-0.06924894030643686,-0.0006667968530367954,-0.06991680403063877,0.010299674909009284,0.024138868069677185,-0.005942486732746087,-0.12567096517063897
Geotechnical Engineering,-0.0031352070217127294,-0.0073342525984466484,-0.006057664736472997,-0.0018802559908097382,-0.0065713191699659605,-0.03789238761643362,-0.4093887310302003,0.011098274343626887,-0.00767961132218645,-0.011536145931678716
Water Engineering,-0.0028410356859678494,-0.006144016306570318,-0.004839130097704395,-0.0019223049302738934,-0.004657984978474372,-0.022467146214038756,-0.21217626772435497,0.004175059967834301,-0.0027772691427963517,-0.005038303428863712
Opinion Writing,-0.002552774165924882,0.032142205876249004,0.008402925051010828,-0.02541807719766434,0.00022501145207130496,0.04895451148912571,-0.0013691690587187483,0.08566782298158271,-0.029056388027791282,-0.021231825235403484
Pharmaceutical Science,0.010620788909686677,0.07009718278170382,0.008163169774286747,0.13843849024911695,0.00020154453703300802,-0.07223070136972086,0.009047860809769976,-0.07811371613515299,-0.2558440660025208,-0.08986374535328986
Patient Communications,0.09570933929051448,0.01786448551808945,0.00430530718031967,0.05473137683107345,0.005472626676328392,0.04469478595040342,-0.007497049223478223,-0.06551129441887807,-0.06577585164045217,0.030022615950371662
Natural Science,-0.0011200592512835836,0.05194750928391424,0.005553645802614221,-0.01892156992967406,0.0001342644970446913,0.04103694574744673,-0.004107308209313384,-0.00343637804438394,-0.03918033021189033,-0.00693941650899677
Cancer Research,0.04192920885239757,0.05309949515028876,0.0056542450943083186,0.0850226229157604,0.002373646207937007,0.13492490583388642,-0.02351313516995664,-0.1475672163895446,0.027252895537588768,0.14686455997973785
Science Literacy,0.007538643762674118,0.03218724188211165,0.0030141845336242017,0.04955154440237021,0.00019440027182221159,0.09099771071306242,-0.015550799270049938,-0.12288710250239075,0.03858124202079526,0.023981667814331784
Clinical Research,0.026205419100972044,0.02152528339570264,0.002473213138122748,0.049050102183633024,-0.0005299193762941961,0.03432965271899783,-0.005448142638694483,-0.02736267676081876,0.004535925097553457,0.041041286452101894
Custom Backend,-0.002117645300986882,-0.004947408264883163,-0.003193601154690668,-0.0008967954724308628,-0.002274006713973894,-0.006252279497750707,0.003980893943256888,-0.0015549474401928235,0.00042303069497081144,0.002788093856610203
Oncology Nursing,0.041870908654364436,0.049198259849249554,0.006833241009577981,0.14727910097993868,0.002891294797256724,-0.06679347727167655,0.006297842306317119,0.006450546601382429,-0.08909022119016316,0.026306117612247677
Cellular Neuroscience,-0.00041781417175770113,0.06104953643075301,0.0071801084865770505,-0.00846271979100532,0.0022211431834360026,-0.011714534166003002,5.951596837697837e-05,0.01247544642313108,0.011461959104549588,-0.01577950683247116
Phlebotomy,0.03700814656819455,0.021304085356640055,0.0033549145271243135,0.05593701040443788,0.0004538645347039181,0.0342405525390638,-0.007418500507597025,-0.0024104322019125424,0.06699256904073365,0.04483481025522129
Biological Science,-0.00033173155682959544,0.04797650471416019,0.004945111055682704,-0.021988435980621515,0.0009235969714085599,0.0010784369091796596,-0.00014913374534358226,0.004144708749270841,0.007418555857410357,0.006924667930516054
Big 4,-0.0019637820864163917,-0.005198843584162707,-0.003561705527341905,-0.0004688582159841444,-0.0028160085856644606,-0.007652515907218034,0.006296763800663576,-0.0029287414092222285,0.0003323874456671072,0.005121135797895963
Science Communication,0.017304698181765225,0.12481940149505848,0.014803184850877857,0.1992777051042967,0.0037772083340438995,-0.10302470777691052,0.008101461134667871,-0.04288513807091567,-0.027366169393707954,-0.11708776423819595
Aviation Operations,-0.0029799421859879422,-0.012982039695572227,-0.009078905416725182,0.001343058006553152,0.4054834959987398,0.0012560589752611492,-0.006831042689509681,-0.0001637833624685588,-0.004390407418521081,-0.0031098777632723525
