skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
API Architecture,27,15,12,-0.20123721432846242,0.20123721432846242
Cybersecurity Tools,36,20,16,-0.1992840887075804,0.1992840887075804
Nonprofit Accounting,256,142,114,-0.1975814172309973,0.1975814172309973
Employee Research,54,30,24,-0.19729502788272324,0.19729502788272324
Linux Development,120,78,42,0.19724595491258334,0.19724595491258334
Data Visualization,409,227,182,-0.19594852857694933,0.19594852857694933
Brand Strategy,90,50,40,-0.19567723177658713,0.19567723177658713
Scikitlearn,154,100,54,0.1956084318845246,0.1956084318845246
Autodesk Inventor,126,70,56,-0.19497652227958007,0.19497652227958007
SwiftUI,26,17,9,0.194560488377566,0.194560488377566
Key Account Management,26,17,9,0.194560488377566,0.194560488377566
SAP Product Lifecycle Management,26,17,9,0.194560488377566,0.194560488377566
Strategic Technology Planning,367,204,163,-0.19259360879985943,0.19259360879985943
Communication with Candidates,77,50,27,0.19143873766338082,0.19143873766338082
Cellular Manufacturing,94,61,33,0.19114314203604277,0.19114314203604277
Simple Logging Facade for Java,145,94,51,0.19066943288459903,0.19066943288459903
Design Project Management,52,29,23,-0.1889587517497464,0.1889587517497464
SQL Writing,43,24,19,-0.18808994196442796,0.18808994196442796
Contextual Research,34,19,15,-0.18677415230090766,0.18677415230090766
Software Solution Architecture,34,19,15,-0.18677415230090766,0.18677415230090766
Manufacturing Automation,34,19,15,-0.18677415230090766,0.18677415230090766
Probability Theory,40,26,14,0.18664748962023925,0.18664748962023925
Pricing,25,14,11,-0.18454697988808366,0.18454697988808366
Service Writing,25,14,11,-0.18454697988808366,0.18454697988808366
Portuguese Language,37,24,13,0.1796348381608892,0.1796348381608892
Microstrategy Software Development Kit,37,24,13,0.1796348381608892,0.1796348381608892
Big Data Technology,51,33,18,0.17742611280133325,0.17742611280133325
Secure Software Development,65,42,23,0.17615506083484966,0.17615506083484966
Six Sigma Black Belt Certification,180,116,64,0.17487745525862053,0.17487745525862053
Laser Physics,57,32,25,-0.17378695677409706,0.17378695677409706
Differential Equations,32,18,14,-0.17272651128765837,0.17272651128765837
Scientific Creativity,32,18,14,-0.17272651128765837,0.17272651128765837
Database Schema Design,34,22,12,0.17143807095671093,0.17143807095671093
Product Training,48,31,17,0.17143807095671093,0.17143807095671093
Marketing Science,48,31,17,0.17143807095671093,0.17143807095671093
Digital Journalism,48,27,21,-0.17021552440650023,0.17021552440650023
Sales Research,121,68,53,-0.16919650257918928,0.16919650257918928
Online Video Production,80,45,35,-0.1681689644698734,0.1681689644698734
Gotomarket Strategy,59,38,21,0.16625671221471272,0.16625671221471272
Corporate Communications,55,31,24,-0.16503416566450202,0.16503416566450202
Engineering Management,55,31,24,-0.16503416566450202,0.16503416566450202
Graphic User Interface Design,190,122,68,0.16492869077119376,0.16492869077119376
Computer Systems Engineering,45,29,16,0.16468128849383135,0.16468128849383135
Marketing Project Management,318,179,139,-0.16423798727849492,0.16423798727849492
Methods Engineering,158,89,69,-0.16343672123534514,0.16343672123534514
Retail Sales Analysis,126,71,55,-0.16303416499783552,0.16303416499783552
Artificial Neural Networks,70,45,25,0.1626852798471159,0.1626852798471159
Office Management Software,9365,5274,4091,-0.16237635679098097,0.16237635679098097
Human Resources Systems,31,20,11,0.1617292568297506,0.1617292568297506
Tier 3 Technical Support,31,20,11,0.1617292568297506,0.1617292568297506
Haskell,31,20,11,0.1617292568297506,0.1617292568297506
Matplotlib,95,61,34,0.1617292568297497,0.1617292568297497
Multivariate Statistics,220,124,96,-0.1615858863855859,0.1615858863855859
Mandarin Chinese Language,184,118,66,0.1613624189679692,0.1613624189679692
JavaScript Engine,373,239,134,0.16064062386366773,0.16064062386366773
Customer Service Training,392,221,171,-0.16050927106621193,0.16050927106621193
Java Applet,81,52,29,0.16007431230639568,0.16007431230639568
Team Building,250,141,109,-0.15997342611867138,0.15997342611867138
Embedded Software,156,100,56,0.15956849540132723,0.15956849540132723
Marketing Leadership,820,525,295,0.1593327595254448,0.1593327595254448
Medical Device Product Development,85,48,37,-0.15912572897833588,0.15912572897833588
Manufacturing Engineering,193,109,84,-0.1571755790519802,0.1571755790519802
Electrical Product Design,30,17,13,-0.15683739846032285,0.15683739846032285
