skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Nonprofit Financial Management,180,30,150,-2.0124938242737245,2.0124938242737245
Mammalian Cell Culture,429,72,357,-2.011806223971593,2.011806223971593
Force Protection,61,10,51,-2.0064639742043724,2.0064639742043724
Scientific Presentation,61,10,51,-2.0064639742043724,2.0064639742043724
Cultural Research,49,8,41,-2.001884687438542,2.001884687438542
Behavioral Science,43,7,36,-1.9986666637443404,1.9986666637443404
Publications,43,7,36,-1.9986666637443404,1.9986666637443404
Environmental Science,37,6,31,-1.9944427926281554,1.9944427926281554
Nanotechnology,37,6,31,-1.9944427926281554,1.9944427926281554
National Security,72,12,60,-1.9931721444267003,1.9931721444267003
Bluebeam Revu,31,5,26,-1.9886540644519117,1.9886540644519117
Randomized Clinical Trials,31,5,26,-1.9886540644519117,1.9886540644519117
Mental Health First Aid,25,4,21,-1.9802329620555028,1.9802329620555028
