skill,users,popular_users,nonpopular_users,popular_rate,log_odds_popular,abs_log_odds
machine learning algorithms,1296,306,990,0.2361111111111111,0.7393778546138761,0.7393778546138761
simulink,1766,417,1349,0.2361268403171008,0.7391650772090663,0.7391650772090663
sql navigator,35,8,27,0.22857142857142856,0.7382501241999613,0.7382501241999613
frontend development,196,46,150,0.23469387755102042,0.7378591937805958,0.7378591937805958
molecular biology assays,1113,73,1040,0.06558849955076371,-0.7378012742386826,0.7378012742386826
political science,52,3,49,0.057692307692307696,-0.7368397357030609,0.7368397357030609
value engineering,52,3,49,0.057692307692307696,-0.7368397357030609,0.7368397357030609
assistance marketing,52,3,49,0.057692307692307696,-0.7368397357030609,0.7368397357030609
real estate sales,52,3,49,0.057692307692307696,-0.7368397357030609,0.7368397357030609
note taking,52,3,49,0.057692307692307696,-0.7368397357030609,0.7368397357030609
twodimensional gel electrophoresis,52,3,49,0.057692307692307696,-0.7368397357030609,0.7368397357030609
wildlife science,324,21,303,0.06481481481481481,-0.7349587099897206,0.7349587099897206
singing,67,4,63,0.05970149253731343,-0.7345925437461567,0.7345925437461567
business to business,67,4,63,0.05970149253731343,-0.7345925437461567,0.7345925437461567
canva design,112,7,105,0.0625,-0.7314379669976407,0.7314379669976407
qualitative research interviewing,112,7,105,0.0625,-0.7314379669976407,0.7314379669976407
swift,214,50,164,0.2336448598130841,0.7314327314521036,0.7314327314521036
web editing,65,15,50,0.23076923076923078,0.7312366530201029,0.7312366530201029
retail leadership,172,11,161,0.06395348837209303,-0.7297881419172914,0.7297881419172914
d3.js,31,7,24,0.22580645161290322,0.728599868367799,0.728599868367799
trading strategy,31,7,24,0.22580645161290322,0.728599868367799,0.728599868367799
java web services development pack,78,18,60,0.23076923076923078,0.7274973324236997,0.7274973324236997
operational risk management,78,18,60,0.23076923076923078,0.7274973324236997,0.7274973324236997
sensitivity training,125,29,96,0.232,0.7272172203770504,0.7272172203770504
microsoft mobile device management,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
cloud computing security,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
kpi reporting,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
sap in retail,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
dynamodb,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
recommender systems,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
profit and loss management,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
google apps script,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
verylargescale integration,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
elastic stack,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
strategic sourcing,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
firebase analytics,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
open source software,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
scientific linux,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
yearend accounting,14,3,11,0.21428571428571427,0.7227858985023792,0.7227858985023792
sales research,230,15,215,0.06521739130434782,-0.7197509202423857,0.7197509202423857
c++,4230,984,3246,0.2326241134751773,0.7191710915068545,0.7191710915068545
laboratory safety,51,3,48,0.058823529411764705,-0.716430864071854,0.716430864071854
remote team management,51,3,48,0.058823529411764705,-0.716430864071854,0.716430864071854
real estate transactions,51,3,48,0.058823529411764705,-0.716430864071854,0.716430864071854
amazon elasticsearch service,27,6,21,0.2222222222222222,0.7161192071441898,0.7161192071441898
energy economics,27,6,21,0.2222222222222222,0.7161192071441898,0.7161192071441898
unix system services,27,6,21,0.2222222222222222,0.7161192071441898,0.7161192071441898
java application server,27,6,21,0.2222222222222222,0.7161192071441898,0.7161192071441898
financial analysis software,1458,338,1120,0.23182441700960219,0.7153637644875639,0.7153637644875639
differential analysis,40,9,31,0.225,0.7136742181511231,0.7136742181511231
cadence virtuoso layout editor,40,9,31,0.225,0.7136742181511231,0.7136742181511231
parallel programming,53,12,41,0.22641509433962265,0.712405182447819,0.712405182447819
fundamental science,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
investment account management,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
company research,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
podcast production,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
remote technical support,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
resiliency,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
data research,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
front office operations,36,2,34,0.05555555555555555,-0.7122986267869429,0.7122986267869429
computer security awareness training,66,15,51,0.22727272727272727,0.7116281816317267,0.7116281816317267
credit analysis,66,15,51,0.22727272727272727,0.7116281816317267,0.7116281816317267
interest rate risk management,79,18,61,0.22784810126582278,0.7111035226480231,0.7111035226480231
adhd tutoring,772,52,720,0.06735751295336788,-0.7067622804657829,0.7067622804657829
computer programming,1322,304,1018,0.22995461422087746,0.7049548168593069,0.7049548168593069
html abstraction markup language,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
health and wellness coaching,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
american sign language,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
fashion retail,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
fda food safety modernization act,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
program strategy,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
advertising sales,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
web sql databases,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
usability,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
interaction design,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
content management platform,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
therapeutic crisis intervention,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
dna sequencing,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
staff scheduling,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
post production management,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
creative pitching,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
atomic force microscopy,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
executive assistant,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
primavera p6,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
interior architecture,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
stress analysis,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
training strategy,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
new restaurant openings,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
data loss prevention,21,1,20,0.047619047619047616,-0.7025898126599817,0.7025898126599817
multithreading,36,8,28,0.2222222222222222,0.7025320415978822,0.7025320415978822
web project,428,98,330,0.22897196261682243,0.701819854262518,0.701819854262518
verilog hdl,84,19,65,0.2261904761904762,0.7007342883047105,0.7007342883047105
leveraged finance,23,5,18,0.21739130434782608,0.6993473255303622,0.6993473255303622
beautifulsoup,23,5,18,0.21739130434782608,0.6993473255303622,0.6993473255303622
financial project management,23,5,18,0.21739130434782608,0.6993473255303622,0.6993473255303622
bootstrap,71,16,55,0.22535211267605634,0.6993473255303622,0.6993473255303622
strategy development,23,5,18,0.21739130434782608,0.6993473255303622,0.6993473255303622
software infrastructure,119,27,92,0.226890756302521,0.6993473255303622,0.6993473255303622
alternative investments,71,16,55,0.22535211267605634,0.6993473255303622,0.6993473255303622
real-time operating systems,23,5,18,0.21739130434782608,0.6993473255303622,0.6993473255303622
annual accounting,23,5,18,0.21739130434782608,0.6993473255303622,0.6993473255303622
powerpoint,50,3,47,0.06,-0.6955967771690119,0.6955967771690119
conflict mediation,50,3,47,0.06,-0.6955967771690119,0.6955967771690119
consultative sales management,50,3,47,0.06,-0.6955967771690119,0.6955967771690119
music programming,50,3,47,0.06,-0.6955967771690119,0.6955967771690119
medical staff development,152,10,142,0.06578947368421052,-0.6955967771690119,0.6955967771690119
tactical marketing,50,3,47,0.06,-0.6955967771690119,0.6955967771690119
peer mediation,50,3,47,0.06,-0.6955967771690119,0.6955967771690119
js framework,505,115,390,0.22772277227722773,0.6942125260583234,0.6942125260583234
technical documentation,79,5,74,0.06329113924050633,-0.6936810677708722,0.6936810677708722
web app development,387,88,299,0.22739018087855298,0.6932580998345959,0.6932580998345959
adobe photoshop lightroom,893,61,832,0.0683090705487122,-0.6930260816659111,0.6930260816659111
construction communication,108,7,101,0.06481481481481481,-0.6927858125633621,0.6927858125633621
artificial intelligence development,137,9,128,0.06569343065693431,-0.6922671403525635,0.6922671403525635
texturing,10,2,8,0.2,0.6885945337541006,0.6885945337541006
petroleum,10,2,8,0.2,0.6885945337541006,0.6885945337541006
workflow management systems,10,2,8,0.2,0.6885945337541006,0.6885945337541006
angular components,10,2,8,0.2,0.6885945337541006,0.6885945337541006
enterprise information management,10,2,8,0.2,0.6885945337541006,0.6885945337541006
information technology computing services,10,2,8,0.2,0.6885945337541006,0.6885945337541006
business ethics,10,2,8,0.2,0.6885945337541006,0.6885945337541006
product management,10,2,8,0.2,0.6885945337541006,0.6885945337541006
user authentication,10,2,8,0.2,0.6885945337541006,0.6885945337541006
synapse analytics,10,2,8,0.2,0.6885945337541006,0.6885945337541006
delegation,10,2,8,0.2,0.6885945337541006,0.6885945337541006
business requirements documentation,10,2,8,0.2,0.6885945337541006,0.6885945337541006
nonfunctional testing,10,2,8,0.2,0.6885945337541006,0.6885945337541006
sap analytics cloud,10,2,8,0.2,0.6885945337541006,0.6885945337541006
altium,10,2,8,0.2,0.6885945337541006,0.6885945337541006
forklift,10,2,8,0.2,0.6885945337541006,0.6885945337541006
java logging framework,10,2,8,0.2,0.6885945337541006,0.6885945337541006
corporate strategy,10,2,8,0.2,0.6885945337541006,0.6885945337541006
semisupervised learning,10,2,8,0.2,0.6885945337541006,0.6885945337541006
technology integration,10,2,8,0.2,0.6885945337541006,0.6885945337541006
oauth,10,2,8,0.2,0.6885945337541006,0.6885945337541006
consultative selling,10,2,8,0.2,0.6885945337541006,0.6885945337541006
xml databases,10,2,8,0.2,0.6885945337541006,0.6885945337541006
carbon accounting,10,2,8,0.2,0.6885945337541006,0.6885945337541006
tcl,10,2,8,0.2,0.6885945337541006,0.6885945337541006
adobe premiere rush,10,2,8,0.2,0.6885945337541006,0.6885945337541006
computer hardware assembly,10,2,8,0.2,0.6885945337541006,0.6885945337541006
job coaching,10,2,8,0.2,0.6885945337541006,0.6885945337541006
sketch app,10,2,8,0.2,0.6885945337541006,0.6885945337541006
integrated circuits,32,7,25,0.21875,0.6885945337540997,0.6885945337540997
strategic planning software,469,32,437,0.06823027718550106,-0.6874666510857619,0.6874666510857619
motivational speaking,5334,369,4965,0.06917885264341957,-0.685748570578941,0.685748570578941
asset valuation,244,55,189,0.22540983606557377,0.684363961606123,0.684363961606123
acquisition marketing,147,33,114,0.22448979591836735,0.683340581212942,0.683340581212942
digital marketing platforms,107,7,100,0.06542056074766354,-0.6828847415806498,0.6828847415806498
research collaboration,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
music performance,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
after effects,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
client presentation,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
mental health advocacy,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
medication therapy management,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
pharmacy automation,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
web content management systems,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
autodesk robot structural analysis,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
psychological first aid,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
automotive sales training,35,2,33,0.05714285714285714,-0.6828847415806498,0.6828847415806498
power electronics engineering,41,9,32,0.21951219512195122,0.6824216746470189,0.6824216746470189
mongodb atlas,311,70,241,0.22508038585209003,0.6811132021018116,0.6811132021018116
inside sales management,78,5,73,0.0641025641025641,-0.68016734860415,0.68016734860415
react native applications,205,46,159,0.22439024390243903,0.6797783557446269,0.6797783557446269
patient family teaching,164,11,153,0.06707317073170732,-0.6789835662818318,0.6789835662818318
educational leadership,1110,77,1033,0.06936936936936937,-0.6780584773863061,0.6780584773863061
mixed methods research,135,9,126,0.06666666666666667,-0.6765805441848638,0.6765805441848638
financial risk management,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
entrepreneurial finance,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
electronic system design,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
branch banking,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
inventory management software,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
mathematical economics,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
aws cloud development kit,19,4,15,0.21052631578947367,0.6756073382272891,0.6756073382272891
microsoft bi suite,49,3,46,0.061224489795918366,-0.6743193787217265,0.6743193787217265
visual arts painting,49,3,46,0.061224489795918366,-0.6743193787217265,0.6743193787217265
