company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
Accenture Plc,1230770.0,0,0,1,IT Consulting Services,Leinster,consulting,accept_if_sensible,high,1,exact target list match
"Adobe, Inc.",766625.0,0,0,1,Information Technology Services,California,tech,accept_if_sensible,high,1,exact target list match
American Express Co.,1104097.0,0,0,1,Information Technology Services,New York,finance,accept_if_sensible,high,1,exact target list match
"Amgen, Inc.",906797.0,0,0,1,Pharmaceuticals,California,other_or_review,review,low,0,no exact match or sector keyword
"Anduril Industries, Inc.",300759.0,0,0,1,Aerospace and Defense,California,other_or_review,review,low,0,no exact match or sector keyword
Anheuser Busch Inbev,2018508.0,0,0,1,,Pharmaceuticals,other_or_review,review,low,0,no exact match or sector keyword
"Apollo Global Management, Inc.",21048147.0,0,0,1,Financial Services,New York,finance,accept_if_sensible,high,1,exact target list match
"Apple, Inc.",1232095.0,0,0,1,Electronics Manufacturing,California,tech,accept_if_sensible,high,1,exact target list match
"Applied Materials, Inc.",1246081.0,0,0,1,Electronics Manufacturing,California,other_or_review,review,low,0,no exact match or sector keyword
"AT&T, Inc.",97840.0,0,0,1,Telecommunications Services,Texas,other_or_review,review,low,1,no exact match or sector keyword
"Bain & Co., Inc.",1266369.0,0,0,1,Consulting and Advisory Services,Massachusetts,other_or_review,review,low,1,no exact match or sector keyword
Bain Capital LP,675214.0,0,0,1,Financial Services,Massachusetts,finance,review,medium,1,finance keyword: \bcapital\b
Balyasny Asset Management LP,41000.0,0,0,1,Financial Services,Illinois,finance,review,medium,1,finance keyword: \basset\b
Barclays PLC,22151194.0,0,0,1,Financial Services,England,other_or_review,review,low,1,no exact match or sector keyword
Biogen,2359135.0,0,0,1,Wellness Products,Gauteng,other_or_review,review,low,0,no exact match or sector keyword
"BlackRock Finance, Inc.",1144595.0,0,0,1,Financial Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Blue Origin Washington LLC,136845.0,0,0,1,Energy and Resources,Washington,other_or_review,review,low,1,no exact match or sector keyword
BNP Paribas SA,792141.0,0,0,1,Financial Services,Ile-de-France,other_or_review,review,low,1,no exact match or sector keyword
The Boeing Co.,961524.0,0,0,1,Aerospace and Defense,Virginia,other_or_review,review,low,0,no exact match or sector keyword
Bristol Myers Squibb Co.,1122234.0,0,0,1,Pharmaceuticals,New Jersey,other_or_review,review,low,1,no exact match or sector keyword
Broadridge (Japan) Ltd.,6968218.0,0,0,1,Information Technology Services,New York,other_or_review,review,low,0,no exact match or sector keyword
"The Capital Group Cos., Inc.",826397.0,0,0,1,Financial Services,California,finance,review,medium,1,finance keyword: \bcapital\b
"Caterpillar, Inc.",1047983.0,0,0,1,Energy and Resources,Texas,other_or_review,review,low,1,no exact match or sector keyword
"CenterPoint Energy, Inc.",445083.0,0,0,1,Energy and Resources,Texas,other_or_review,review,low,1,no exact match or sector keyword
Chevron Corp.,635563.0,0,0,1,Energy and Resources,Texas,other_or_review,review,low,1,no exact match or sector keyword
"Choice Hotels International, Inc.",22144010.0,0,0,1,Hospitality and Tourism Management,Maryland,other_or_review,review,low,1,no exact match or sector keyword
"Cisco Systems, Inc.",1400574.0,0,0,1,Information Technology Services,California,tech,review,medium,1,tech keyword: \bsystems\b
"Citigroup, Inc.",267301.0,0,0,1,Financial Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Deloitte LLP (New York),20937770.0,0,0,1,Consulting and Advisory Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Deutsche Bank AG,532877.0,0,0,1,Financial Services,Hesse,finance,review,medium,1,finance keyword: \bbank\b
"Doximity, Inc.",1416523.0,0,0,1,Biotech and Healthcare Services,California,other_or_review,review,low,1,no exact match or sector keyword
Ernst & Young Global Ltd.,1301557.0,0,0,1,Consulting and Advisory Services,England,other_or_review,review,low,1,no exact match or sector keyword
"Evercore, Inc.",22148155.0,0,0,1,Financial Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Exxon Mobil Corp.,912348.0,0,0,1,Energy and Resources,Texas,other_or_review,review,low,1,no exact match or sector keyword
Ford Motor Co.,860320.0,0,0,1,Automotive Services,Michigan,other_or_review,review,low,1,no exact match or sector keyword
General Motors Co.,1398143.0,0,0,1,Automotive Services,Michigan,other_or_review,review,low,1,no exact match or sector keyword
Google LLC,233459.0,0,0,1,Digital Commerce Services,California,other_or_review,review,low,1,no exact match or sector keyword
"Houlihan Lokey, Inc.",279074.0,0,0,1,Financial Services,California,other_or_review,review,low,0,no exact match or sector keyword
International Business Machines Corp.,22142390.0,0,0,1,Information Technology Services,New York,other_or_review,review,low,0,no exact match or sector keyword
Infosys Ltd.,809141.0,0,0,1,IT Consulting Services,Karnataka,other_or_review,review,low,1,no exact match or sector keyword
"Intuit, Inc.",1050907.0,0,0,1,Information Technology Services,California,other_or_review,review,low,1,no exact match or sector keyword
"Jefferies Financial Group, Inc.",22142421.0,0,0,1,Financial Services,New York,finance,review,medium,1,finance keyword: \bfinancial\b
Deere & Co.,1235260.0,0,0,1,Industrial Manufacturing,Illinois,other_or_review,review,low,1,no exact match or sector keyword
"KKR Group Co., Inc.",786785.0,0,0,1,Financial Services,New York,other_or_review,review,low,1,no exact match or sector keyword
KPMG LLP,690100.0,0,0,1,Consulting and Advisory Services,New York,consulting,accept_if_sensible,high,1,exact target list match
"Mastercard, Inc.",7963787.0,0,0,1,Information Technology Services,New York,other_or_review,review,low,1,no exact match or sector keyword
"McKinsey & Co., Inc.",22150963.0,0,0,1,Consulting and Advisory Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Morgan Stanley,1485785.0,0,0,1,Financial Services,New York,finance,accept_if_sensible,high,1,exact target list match
"NIKE, Inc.",775676.0,0,0,1,Apparel Retail,Oregon,other_or_review,review,low,0,no exact match or sector keyword
Northrop Grumman Corp.,851738.0,0,0,1,Aerospace and Defense,Virginia,other_or_review,review,low,1,no exact match or sector keyword
NVIDIA Corp.,1223555.0,0,0,1,Electronics Manufacturing,California,other_or_review,review,low,1,no exact match or sector keyword
"Oliver Wyman, Inc.",700308.0,0,0,1,Consulting and Advisory Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Oracle Corp.,472640.0,0,0,1,Information Technology Services,Texas,other_or_review,review,low,1,no exact match or sector keyword
"Palantir Technologies, Inc.",1010813.0,0,0,1,Information Technology Services,Florida,tech,review,medium,1,tech keyword: \btechnolog
"PepsiCo, Inc.",1112079.0,0,0,1,Food and Beverage,New York,other_or_review,review,low,1,no exact match or sector keyword
"The PNC Financial Services Group, Inc.",22142569.0,0,0,1,Financial Services,Pennsylvania,finance,review,medium,1,finance keyword: \bfinancial\b
Procter & Gamble Co.,513460.0,0,0,1,Wellness Products,Ohio,other_or_review,review,low,0,no exact match or sector keyword
PricewaterhouseCoopers LLP,709929.0,0,0,1,Consulting and Advisory Services,New York,consulting,accept_if_sensible,high,0,exact target list match
"ResMed, Inc.",370332.0,0,0,1,Healthcare and Wellness Services,California,other_or_review,review,low,0,no exact match or sector keyword
Revolut Ltd.,233467.0,0,0,1,Digital Commerce Services,England,other_or_review,review,low,0,no exact match or sector keyword
