employer_name,users,top_major,top_school,cum_share_of_nonmissing_unreviewed,suggested_bucket,confidence,notes,manual_decision
GE Aerospace,22,Engineering,University of Notre Dame,0.5301704283740212,other_or_review,low,no rule match,0
LVMH Moët Hennessy Louis Vuitton SE,22,Missing,University of California Berkeley,0.5352372178719484,other_or_review,low,no rule match,0
Lincoln International LLC,22,Economics,University of Michigan,0.5403040073698756,other_or_review,low,no rule match,0
"Mitsubishi UFJ Financial Group, Inc.",22,Economics,Cornell University,0.5453707968678029,finance,medium,finance keyword: \bfinancial\b,1
"MongoDB, Inc.",22,Engineering,Princeton University,0.550437586,other_or_review,low,no rule match,1
Piper Sandler Cos.,22,Missing,University of Notre Dame,0.5555043758636573,other_or_review,low,no rule match,0
"Sumitomo Mitsui Financial Group, Inc.",22,Economics,Columbia University in the City of New York,0.5605711653615846,finance,medium,finance keyword: \bfinancial\b,1
"AbbVie, Inc.",21,Engineering,Northwestern University,0.5654076462459696,other_or_review,low,no rule match,0
"Advanced Micro Devices, Inc.",21,Engineering,Cornell University,0.5702441271303547,other_or_review,low,no rule match,0
"Applied Intuition, Inc.",21,Engineering,University of California Berkeley,0.5750806080147397,other_or_review,low,no rule match,1
"Coinbase Global, Inc.",21,Engineering,University of California Berkeley,0.5799170888991249,other_or_review,low,no rule match,1
"IQVIA Holdings, Inc.",21,Missing,Brown University,0.5847535697835099,other_or_review,low,no rule match,0
KeyCorp,21,Economics,University of Michigan,0.5895900506678949,other_or_review,low,no rule match,0
Latham & Watkins LLP,21,Missing,Columbia University in the City of New York,0.5944265315522801,other_or_review,low,no rule match,0
MD Investment LLC,21,Economics,University of California Berkeley,0.5992630124366651,finance,medium,finance keyword: \binvest,1
Medtronic Plc,21,Engineering,University of California Berkeley,0.6040994933210502,other_or_review,low,no rule match,0
"Prudential Financial, Inc.",21,Economics,Cornell University,0.6089359742054353,finance,medium,finance keyword: \bfinancial\b,1
Schneider Electric SE,21,Engineering,University of California Berkeley,0.6137724550898204,other_or_review,low,no rule match,0
"The Brattle Group, Inc.",21,Economics,Vanderbilt University,0.6186089359742054,other_or_review,low,no rule match,0
"The Mount Sinai Health System, Inc.",21,Missing,Columbia University in the City of New York,0.6234454168585906,exclude,high,exclude pattern: \bhealth\b,0
The University of Colorado,21,Engineering,University of California Berkeley,0.6282818977429756,exclude,high,exclude pattern: \buniversity\b,0
UCLA Health Systems,21,Missing,University of California Berkeley,0.6331183786273606,exclude,high,exclude pattern: \bhealth\b,0
United Nations (New York),21,Missing,Harvard University,0.6379548595117457,other_or_review,low,no rule match,0
"ACS, Actividades de Construcción y Servicios SA",20,Engineering,University of California Berkeley,0.6425610317825887,other_or_review,low,no rule match,0
AECOM,20,Engineering,Columbia University in the City of New York,0.6471672040534316,other_or_review,low,no rule match,0
"Baird Financial Group, Inc.",20,Business,University of Notre Dame,0.6517733763242746,finance,medium,finance keyword: \bfinancial\b,1
"Cravath, Swaine & Moore LLP",20,Missing,Yale University,0.6563795485951175,other_or_review,low,no rule match,0
Fellowship of Catholic University Students,20,Missing,University of California Berkeley,0.6609857208659604,exclude,high,exclude pattern: \buniversity\b,0
Indiana University,20,Missing,University of Notre Dame,0.6655918931368033,exclude,high,exclude pattern: \buniversity\b,0
Informa Plc,20,Missing,University of Michigan,0.6701980654076463,other_or_review,low,no rule match,0
"Jones Lang LaSalle, Inc.",20,Business,Cornell University,0.6748042376784892,other_or_review,low,no rule match,0
"Mars, Inc.",20,Missing,University of California Berkeley,0.6794104099493321,other_or_review,low,no rule match,0
Mayo Clinic,20,Missing,University of Michigan,0.684016582,other_or_review,low,no rule match,0
State of Michigan,20,Missing,University of Michigan,0.688622754,exclude,high,exclude pattern: \bstate of\b,0
The New York Times Co.,20,Missing,Harvard University,0.6932289267618609,other_or_review,low,no rule match,0
The University of Chicago Medical Center,20,Missing,University of Chicago,0.6978350990327038,exclude,high,exclude pattern: \buniversity\b,0
"Thermo Fisher Scientific, Inc.",20,Missing,University of California Berkeley,0.7024412713035467,other_or_review,low,no rule match,0
"Yext, Inc.",20,Engineering,Massachusetts Institute of Technology,0.7070474435743896,other_or_review,low,no rule match,0
Ann & Robert H. Lurie Children's Hospital of Chicago,19,Missing,Northwestern University,0.7114233072316904,exclude,high,exclude pattern: \bhospital\b,0
Arthur J. Gallagher & Co.,19,Missing,Vanderbilt University,0.7157991708889913,other_or_review,low,no rule match,0
Chicago Public Schools,19,Missing,Northwestern University,0.7201750345462921,other_or_review,low,no rule match,0
City & County of San Francisco (California),19,Missing,University of California Berkeley,0.7245508982035929,other_or_review,low,no rule match,0
Eastdil Secured LLC,19,Economics,University of Michigan,0.7289267618608936,other_or_review,low,no rule match,0
